SKACDY_DAY,NEW_BU_NUM,NEW_LINE_NUM,BUY_OFF_NAME,LINE_DETAILS,NEW_LAYOUT_BCODE,CASE_SIZE,NEW_SUPPLIER_NUM,LINE_SALES_SUS,LINE_STOCK_SUS,LINE_WSTG_SUS,UW_OP_COUNT_SUS,UW_STOCKTAKE_SUS,AUTO_ADJ_NBAL_SUS,CNTS_NONROUTINE_CT,BR_REC_OOS_CT,SYS_GEN_OOS_CT,Unemployment,CPI,PROMO_OFFER,holiday,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,Lag_Sales_1,Lag_Sales_7,Lag_Sales_14,rolling_avg_LINE_SALES_SUS_w_1,rolling_avg_LINE_SALES_SUS_w_7,rolling_avg_LINE_SALES_SUS_w_14
2021-01-01,1336.0,2234668.0,Seasonal,t Mix 400g,1077.0,6.0,888634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,2234668.0,Seasonal,t Mix 400g,1077.0,6.0,888634.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,2234668.0,Seasonal,t Mix 400g,1077.0,6.0,888634.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,2234668.0,Seasonal,t Mix 400g,1077.0,6.0,888634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,2234668.0,Seasonal,t Mix 400g,1077.0,6.0,888634.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,1913188.0,Seasonal,risps 150g,75.0,12.0,172810.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,1913188.0,Seasonal,risps 150g,75.0,12.0,172810.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,1913188.0,Seasonal,risps 150g,75.0,12.0,172810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,1913188.0,Seasonal,risps 150g,75.0,12.0,172810.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,1913188.0,Seasonal,risps 150g,75.0,12.0,172810.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,3556804.0,Seasonal,t Mix 200g,1077.0,20.0,505666.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,3556804.0,Seasonal,t Mix 200g,1077.0,20.0,505666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,3556804.0,Seasonal,t Mix 200g,1077.0,20.0,505666.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,3556804.0,Seasonal,t Mix 200g,1077.0,20.0,505666.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,3556804.0,Seasonal,t Mix 200g,1077.0,20.0,505666.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,44416.0,Seasonal, Mini 200g,1077.0,6.0,270272.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,44416.0,Seasonal, Mini 200g,1077.0,6.0,270272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,44416.0,Seasonal, Mini 200g,1077.0,6.0,270272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,44416.0,Seasonal, Mini 200g,1077.0,6.0,270272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,44416.0,Seasonal, Mini 200g,1077.0,6.0,270272.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,3063420.0,Seasonal,t Mix 320g,1077.0,6.0,888634.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,3063420.0,Seasonal,t Mix 320g,1077.0,6.0,888634.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,3063420.0,Seasonal,t Mix 320g,1077.0,6.0,888634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,3063420.0,Seasonal,t Mix 320g,1077.0,6.0,888634.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,3063420.0,Seasonal,t Mix 320g,1077.0,6.0,888634.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1096.0,2861484.0,Seasonal,Chews 170g,1023.0,8.0,319392.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,2861484.0,Seasonal,Chews 170g,1023.0,8.0,319392.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,2861484.0,Seasonal,Chews 170g,1023.0,8.0,319392.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,2861484.0,Seasonal,Chews 170g,1023.0,8.0,319392.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,2861484.0,Seasonal,Chews 170g,1023.0,8.0,319392.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1382.0,2987604.0,Seasonal,heese 300g,957.0,12.0,215318.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1336.0,2987604.0,Seasonal,heese 300g,957.0,12.0,215318.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,304.0,2987604.0,Seasonal,heese 300g,957.0,12.0,215318.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
2021-01-01,1414.0,2987604.0,Seasonal,heese 300g,957.0,12.0,215318.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,109.0,0,1,4,1,1,2021,1,1,53,,,,,,
